iter	Passed	Remaining
411	4407	6290
412	4418	6280
413	4431	6271
414	4442	6262
415	4454	6252
416	4466	6243
417	4478	6235
418	4489	6225
419	4502	6218
420	4515	6210
421	4527	6201
422	4539	6192
423	4553	6185
424	4565	6176
425	4577	6168
426	4589	6158
427	4602	6150
428	4613	6140
429	4625	6130
430	4636	6121
431	4649	6113
432	4660	6102
433	4671	6091
434	4682	6082
435	4695	6073
436	4705	6061
437	4716	6052
438	4729	6043
439	4740	6033
440	4752	6023
441	4763	6013
442	4774	6003
443	4788	5996
444	4802	5989
445	4814	5980
446	4826	5971
447	4838	5961
448	4849	5951
449	4861	5942
450	4874	5933
451	4887	5925
452	4899	5916
453	4913	5909
454	4924	5899
455	4936	5889
456	4950	5882
457	4964	5875
458	4977	5866
459	5039	5915
460	5067	5924
461	5084	5920
462	5096	5911
463	5110	5903
464	5123	5894
465	5139	5890
466	5156	5885
467	5170	5877
468	5184	5869
469	5196	5860
470	5209	5851
471	5224	5844
472	5239	5837
473	5252	5829
474	5265	5819
475	5275	5807
476	5287	5797
477	5299	5786
478	5310	5775
479	5321	5765
480	5333	5755
481	5346	5745
482	5358	5735
483	5370	5725
484	5382	5715
485	5393	5704
486	5404	5693
487	5416	5682
488	5428	5672
489	5441	5663
490	5451	5651
491	5463	5641
492	5474	5629
493	5485	5618
494	5495	5606
495	5505	5594
496	5517	5583
497	5528	5572
498	5540	5562
499	5552	5552
500	5564	5542
501	5578	5533
502	5587	5521
503	5597	5509
504	5608	5496
505	5617	5484
506	5626	5471
507	5636	5458
508	5645	5446
509	5655	5433
510	5664	5420
511	5673	5407
512	5683	5395
513	5692	5382
514	5702	5370
515	5711	5357
516	5721	5345
517	5731	5332
518	5740	5319
519	5749	5307
520	5758	5294
521	5767	5281
522	5777	5269
523	5787	5257
524	5797	5244
525	5806	5232
526	5815	5219
527	5824	5206
528	5833	5194
529	5843	5182
530	5856	5172
531	5868	5162
532	5878	5150
533	5889	5139
534	5899	5127
535	5909	5115
536	5919	5103
537	5930	5092
538	5940	5080
539	5950	5068
540	5959	5056
541	5969	5044
542	5979	5032
543	5989	5020
544	5999	5008
545	6008	4996
546	6019	4984
547	6028	4972
548	6039	4961
549	6049	4949
550	6058	4937
551	6067	4924
552	6076	4911
553	6086	4900
554	6096	4888
555	6105	4875
556	6115	4863
557	6125	4851
558	6134	4839
559	6143	4827
560	6153	4815
561	6162	4802
562	6171	4790
563	6181	4778
564	6191	4766
565	6200	4754
566	6209	4742
567	6218	4729
568	6228	4717
569	6238	4706
570	6248	4694
571	6258	4683
572	6267	4670
573	6277	4658
574	6287	4647
575	6296	4634
576	6305	4622
577	6315	4611
578	6328	4601
579	6341	4592
580	6354	4582
581	6366	4572
582	6379	4562
583	6391	4552
584	6403	4542
585	6415	4532
586	6427	4522
587	6440	4512
588	6456	4505
589	6469	4495
590	6482	4486
591	6494	4475
592	6506	4465
593	6517	4454
594	6527	4443
595	6539	4432
596	6550	4421
597	6562	4411
598	6573	4400
599	6583	4389
600	6595	4378
601	6606	4367
602	6616	4355
603	6627	4345
604	6637	4333
605	6648	4322
606	6658	4311
607	6669	4299
608	6679	4288
