iter	Logloss
0	0.6857465509
1	0.67848337
2	0.6714305133
3	0.6651211553
4	0.6587830556
5	0.6533430462
6	0.6475874107
7	0.6420060169
8	0.6371896186
9	0.6322366927
10	0.6275288093
11	0.6229165851
12	0.6186701387
13	0.614888416
14	0.6108364917
15	0.6068488586
16	0.6029438759
17	0.5993458196
18	0.596113039
19	0.5928124492
20	0.5896356836
21	0.5866051895
22	0.5841726375
23	0.5812337693
24	0.5786060768
25	0.5760508819
26	0.5736870359
27	0.5713617412
28	0.5693904282
29	0.5674007269
30	0.5652563592
31	0.5634521563
32	0.5615433229
33	0.5595017954
34	0.5576353884
35	0.5559106895
36	0.5542637057
37	0.5525829789
38	0.551420305
39	0.5499964953
40	0.5486770172
41	0.5473156231
42	0.545915506
43	0.5447244539
44	0.5435209727
45	0.5424660663
46	0.5413561599
47	0.5403420379
48	0.5394785423
49	0.5384511312
50	0.537576029
51	0.5366839803
52	0.5359627788
53	0.5350247414
54	0.5341182858
55	0.5332937767
56	0.5326328012
57	0.5319136226
58	0.5312074037
59	0.5305867474
60	0.5297832639
61	0.5290968499
62	0.5285667426
63	0.5281102314
64	0.5274105193
65	0.5267372222
66	0.5261421675
67	0.525582769
68	0.5250736908
69	0.5245723552
70	0.5240853909
71	0.5235663514
72	0.5231125196
73	0.5226773893
74	0.5223357988
75	0.5219140854
76	0.5214472503
77	0.521039057
78	0.5207104271
79	0.5203110452
80	0.519954903
81	0.5195909888
82	0.5192628746
83	0.5189090398
84	0.5186189289
85	0.5183605579
86	0.5180487544
87	0.5176867082
88	0.5174187001
89	0.5170508957
90	0.51683388
91	0.5165594496
92	0.5162601731
93	0.5159927659
94	0.5157191866
95	0.5154024563
96	0.5151501265
97	0.5149320439
98	0.5147094484
99	0.5145114636
100	0.5143166843
101	0.5141452229
102	0.513898747
103	0.5136860388
104	0.5134628321
105	0.5132228672
106	0.5130014871
107	0.5127617321
108	0.5125527066
109	0.5123190146
110	0.5120530832
111	0.5118587331
112	0.5117050388
113	0.5115886136
114	0.5114210814
115	0.5113385098
116	0.511187127
117	0.511060995
118	0.5108844929
119	0.5106971601
120	0.5105233985
121	0.5103662307
122	0.5102033224
123	0.5100688078
124	0.5099568797
125	0.5098225444
126	0.5096570849
127	0.5094669383
128	0.5093421205
129	0.5091888005
130	0.509020303
131	0.5089099492
132	0.508754453
133	0.5086610987
134	0.5085290861
135	0.5084019491
136	0.5082380909
137	0.5080785148
138	0.5079805012
139	0.5078522293
140	0.5077243341
141	0.5075967027
142	0.5075126964
143	0.5074131544
144	0.5072650164
145	0.5071314322
146	0.507008831
147	0.5068409213
148	0.5067673679
149	0.5066784093
150	0.5065930062
151	0.5064986808
152	0.5064142975
153	0.5062941041
154	0.5062521424
155	0.5061571647
156	0.5060467254
157	0.5059201155
158	0.5058494945
159	0.5056998914
160	0.505593303
161	0.5054838849
162	0.5054110597
163	0.5053059907
164	0.505214684
165	0.5051315538
166	0.5050579276
167	0.5049668827
168	0.5048183304
169	0.5047392157
170	0.5046670721
171	0.504597903
172	0.5044777079
173	0.5043762675
174	0.5042887867
175	0.5042227179
176	0.5041607655
177	0.5040396624
178	0.5039866934
179	0.503902896
180	0.5038399325
181	0.5037623065
182	0.5036520719
183	0.5035655641
184	0.5034702353
185	0.5034051672
186	0.5033107144
187	0.5032607819
188	0.5032069507
189	0.503100432
190	0.5029909246
191	0.502929979
192	0.5028539145
193	0.5027864498
194	0.5027291529
195	0.5026428436
196	0.5025704967
197	0.5025176842
198	0.5024240253
199	0.5023628488
200	0.5023153184
201	0.502246327
202	0.5021860745
203	0.5020980464
204	0.5020394603
205	0.501977981
206	0.5019428739
207	0.501905359
208	0.5018271842
209	0.5017631999
210	0.5016964694
211	0.501610735
212	0.5015389406
213	0.5014744898
214	0.5014159976
215	0.501318934
216	0.50125114
217	0.5011911496
218	0.5011057204
219	0.5010229826
220	0.5009707406
221	0.5009078756
222	0.5008196112
223	0.5007605828
224	0.500714873
225	0.5006526994
226	0.5005983307
227	0.5005598181
228	0.5004936353
229	0.5004217833
230	0.5003578025
231	0.5003216373
232	0.500280826
233	0.5002478194
234	0.5001924984
235	0.500145954
236	0.5001060679
237	0.5000653829
238	0.4999996
239	0.4999365499
240	0.4998748069
241	0.499831696
242	0.4998016078
243	0.4997312692
244	0.4997076534
245	0.4996783429
246	0.4996362184
247	0.4995727421
248	0.4995298678
249	0.4995029466
250	0.4994621258
251	0.4994136372
252	0.4992819167
253	0.4992271138
254	0.4991709566
255	0.4991149019
256	0.4990634948
257	0.4990006226
258	0.4989216837
259	0.4988652659
260	0.4988171587
261	0.4987571535
262	0.4986490492
263	0.4986051522
264	0.4985481226
265	0.4984902085
266	0.4984651373
267	0.4983963305
268	0.4983678442
269	0.4982875957
270	0.4982224628
271	0.4981675903
272	0.4981168085
273	0.4980077193
274	0.4979513999
275	0.4979088748
276	0.4978484649
277	0.4977757132
278	0.4977174402
279	0.4976397509
280	0.4976093601
281	0.4975528509
282	0.4975057233
283	0.4974713212
284	0.4974367244
285	0.497370541
286	0.4973319834
287	0.4972941526
288	0.4972642394
289	0.4971805322
290	0.4971350941
291	0.4970941514
292	0.4970150783
293	0.4969872755
294	0.4969437975
295	0.4968558511
296	0.4967909044
297	0.4967339947
298	0.4966598564
299	0.4965960965
300	0.4965821191
301	0.4965525718
302	0.4965064014
303	0.496470551
304	0.496438704
305	0.4964072395
306	0.4963328936
307	0.4962887209
308	0.4962403395
309	0.4961874158
310	0.4961175807
311	0.496044893
312	0.4960281599
313	0.4959717994
314	0.4959252905
315	0.4958692173
316	0.4958379478
317	0.4957908331
318	0.4957541218
319	0.4957249824
320	0.4956874657
321	0.4956176061
322	0.4955955913
323	0.4955308833
324	0.4954755775
325	0.4954258312
326	0.4953710738
327	0.4953517814
328	0.4952783743
329	0.4952319582
330	0.4952065169
331	0.495164781
332	0.4951160112
333	0.4950571341
334	0.4950003825
335	0.4949243386
336	0.4948749933
337	0.4948013049
338	0.4947475513
339	0.4947230195
340	0.4946773559
341	0.4946355165
342	0.4945749452
343	0.4945369783
344	0.4944963423
345	0.4944474149
346	0.4944140424
347	0.494352351
348	0.4942838558
349	0.4942323368
350	0.4942020226
351	0.4941391564
352	0.494082967
353	0.494029951
354	0.4940156065
355	0.4939652698
356	0.4939090995
357	0.4938414715
358	0.4937935022
359	0.4937504987
360	0.4937003745
361	0.4936502998
362	0.4936201752
363	0.49356155
364	0.4935038197
365	0.4934783699
366	0.4934262523
367	0.4933793884
368	0.4933429775
369	0.4933004042
370	0.4932741985
371	0.4932454656
372	0.4931952575
373	0.4931806121
374	0.4931303477
375	0.4931096303
376	0.4930689812
377	0.4930323625
378	0.4929800961
379	0.4929476501
380	0.4928766922
381	0.4928191139
382	0.4927446207
383	0.4927148824
384	0.4926805292
385	0.4926164662
386	0.4925870627
387	0.4925312185
388	0.4925015542
389	0.4924188676
390	0.4923879085
391	0.4923430094
392	0.4923015222
393	0.4922503271
394	0.4922054919
395	0.4921479172
396	0.4920593259
397	0.4920193047
398	0.4919733151
399	0.4919375533
400	0.4919059122
401	0.4918466625
402	0.4917979701
403	0.4917440545
404	0.4917113597
405	0.4916825014
406	0.4916538873
407	0.4916088144
408	0.4915476274
409	0.4914771876
410	0.4914468441
411	0.4914050738
412	0.4913685204
413	0.4913414377
414	0.4913236159
415	0.4912846789
416	0.4912328548
417	0.4911813904
418	0.4911427072
419	0.4911071468
420	0.491070315
421	0.4910554321
422	0.4910012542
423	0.4909785989
424	0.4909363625
425	0.4908792078
426	0.4908504518
427	0.4908087168
428	0.4907899139
429	0.4907469453
430	0.4907221523
431	0.4906844253
432	0.4906252133
433	0.4905691005
434	0.4905520764
435	0.4905093358
436	0.4904931798
437	0.4904252174
438	0.4903831729
439	0.4903500854
440	0.4902974123
441	0.4902474945
442	0.4901917919
443	0.49015831
444	0.4901358361
445	0.4901070734
446	0.490064443
447	0.4900122199
448	0.489973875
449	0.4899504866
450	0.4898657675
451	0.4898481409
452	0.4897908998
453	0.489739272
454	0.4896928189
455	0.4896129137
456	0.4895823693
457	0.4895052695
458	0.4894653025
459	0.4894094642
460	0.4893611607
461	0.4893180396
462	0.4892586662
463	0.4892250916
464	0.4891920834
465	0.4891405785
466	0.4891150422
467	0.4890718551
468	0.4890284666
469	0.4889806941
470	0.4889234531
471	0.4888692343
472	0.4888238105
473	0.4887666898
474	0.4887192491
475	0.4886844962
476	0.4886405221
477	0.4885871232
478	0.4885564791
479	0.4885172663
480	0.4884891915
481	0.4884498708
482	0.4884107646
483	0.4883674731
484	0.4883404593
485	0.4882934088
486	0.4882567996
487	0.4882206175
488	0.4881368862
489	0.488077881
490	0.4880323428
491	0.4879578852
492	0.4879304043
493	0.4878713861
494	0.4878500553
495	0.4878210599
496	0.4877786935
497	0.4877465969
498	0.4877162472
499	0.4876641991
500	0.4876316971
501	0.4875662909
502	0.4875540031
503	0.4874999604
504	0.4874445876
505	0.4874316667
506	0.4874011891
507	0.487341169
508	0.4873009865
509	0.4872247279
510	0.4871676541
511	0.4871218659
512	0.4870558979
513	0.4870013521
514	0.4869703892
515	0.4869307988
516	0.4868781891
517	0.486814512
518	0.4867856846
519	0.486714868
520	0.4866524402
521	0.4866171133
522	0.4865728268
523	0.4865358732
524	0.4865101162
525	0.4864786768
526	0.4864666151
527	0.48641262
528	0.4863880864
529	0.4863236388
530	0.4862666876
531	0.4862316904
532	0.486189878
533	0.4861462635
534	0.4860972644
535	0.4860462957
536	0.4859837874
537	0.4859274111
538	0.4858961995
539	0.485863135
540	0.4858349179
541	0.4857870856
542	0.4857149176
543	0.4856599187
544	0.4856405773
545	0.4855895623
546	0.4855305141
547	0.4854543607
548	0.4853806325
549	0.4853121859
550	0.4852621914
551	0.4852133717
552	0.4851760994
553	0.4851324489
554	0.485080165
555	0.4850155792
556	0.4849767189
557	0.4849133131
558	0.484850782
559	0.4848058283
560	0.4847445847
561	0.4846897401
562	0.4846063353
563	0.4845579173
564	0.48453511
565	0.4844910659
566	0.4844488374
567	0.4844046543
568	0.4843826548
569	0.4843173768
570	0.4842533317
571	0.4842079173
572	0.4841585446
573	0.4840952705
574	0.4840314068
575	0.4839896414
576	0.483937738
577	0.4838844352
578	0.4838229316
579	0.4837737628
580	0.4836816725
581	0.4836299479
582	0.4835839502
583	0.4835393674
584	0.4834748411
585	0.4834096663
586	0.4833624213
587	0.4833144548
588	0.4832500629
589	0.4831991612
590	0.4831321066
591	0.4830971231
592	0.4830515523
593	0.4830021713
594	0.4829637126
595	0.4829398489
596	0.4828868834
597	0.4828284218
598	0.4827699071
599	0.4827177911
600	0.4826904238
601	0.4826529875
602	0.482603494
603	0.4825445602
604	0.4824947282
605	0.4824130622
606	0.4823638743
607	0.4822990112
608	0.4822465371
609	0.4821897328
610	0.4821432369
611	0.4820878282
612	0.4820516873
613	0.482008256
614	0.4819583173
615	0.4818921881
616	0.4818542173
617	0.4818019462
618	0.4817686025
619	0.4817375644
620	0.4816770095
621	0.4816473539
622	0.4815829058
623	0.4815736133
624	0.4815455991
625	0.4814933883
626	0.4814303926
627	0.4813853515
628	0.4813165613
629	0.4812580526
630	0.4812139115
631	0.4811764509
632	0.4811421455
633	0.4811084942
634	0.4810492549
635	0.4810020652
636	0.4809468759
637	0.4808955166
638	0.4808501357
639	0.4808148838
640	0.4807748091
641	0.4807083532
642	0.480644378
643	0.4806092511
644	0.480570884
645	0.4805186887
646	0.4804606036
647	0.4803968989
648	0.4803756733
649	0.4803203965
650	0.480262396
651	0.480205109
652	0.480132349
653	0.4800867139
654	0.4800329029
655	0.4799945619
656	0.4799425016
657	0.479890777
658	0.4798500729
659	0.4798029384
660	0.4797288083
661	0.4796477548
662	0.4795957046
663	0.4795397252
664	0.4794921108
665	0.4794417765
666	0.4793759443
667	0.4793252864
668	0.4792526465
669	0.4791889162
670	0.479123038
671	0.4791017926
672	0.4790478515
673	0.4790095356
674	0.4789447338
675	0.4788883218
676	0.4788271856
677	0.4787798349
678	0.4787204297
679	0.4786668823
680	0.4786267822
681	0.4785731343
682	0.4785251454
683	0.4784812192
684	0.4784475897
685	0.4783899734
686	0.4783408114
687	0.4782853027
688	0.478237422
689	0.4781921492
690	0.4781485095
691	0.4781058238
692	0.478057597
693	0.4780083146
694	0.4779332817
695	0.4778943829
696	0.4778445517
697	0.4777981748
698	0.4777587326
699	0.4776816053
700	0.4776246225
701	0.4775948626
702	0.4775832266
703	0.4775384588
704	0.477499754
705	0.4774701862
706	0.4774034934
707	0.4773652015
708	0.4773202595
709	0.4772844999
710	0.4772186014
711	0.4771545326
712	0.4771149622
713	0.4770664293
714	0.4770171884
715	0.476944717
716	0.476887086
717	0.4768395436
718	0.4768060952
719	0.4767871468
720	0.4767363932
721	0.4767067462
722	0.4766655564
723	0.4766302034
724	0.4766024794
725	0.4765654243
726	0.4765282551
727	0.4764744431
728	0.4764107763
729	0.476337021
730	0.4762959117
731	0.4762495791
732	0.4761828802
733	0.4761611328
734	0.4761317835
735	0.4760886999
736	0.4760541974
737	0.4760027184
738	0.4759603624
739	0.4759227658
740	0.4758766975
741	0.4758319487
742	0.4758153017
743	0.4757894686
744	0.4757558658
745	0.4757150298
746	0.4756913951
747	0.475649144
748	0.4756129752
749	0.4755673822
750	0.4755245891
751	0.4754782392
752	0.4754140782
753	0.4753869006
754	0.4753263298
755	0.4752646487
756	0.4752343165
757	0.4751763247
758	0.4751368383
759	0.4751133052
760	0.4750581049
761	0.4750112757
762	0.4749393272
763	0.4749018504
764	0.4748412695
765	0.474793087
766	0.4747514189
767	0.4747116272
768	0.4746815388
769	0.474665936
770	0.4746330102
771	0.4745942514
772	0.4745776164
773	0.4745675637
774	0.4745438716
775	0.4745015239
776	0.4744885005
777	0.4744272617
778	0.474394668
779	0.4743491596
780	0.4742769437
781	0.4742406281
782	0.4742004198
783	0.4741627187
784	0.4740923562
785	0.4740370312
786	0.474006267
787	0.4739716483
788	0.473905431
789	0.4738552551
790	0.4738009323
791	0.4737513699
792	0.4736930496
793	0.4736704404
794	0.473612284
795	0.4735693596
796	0.4735451677
797	0.4734947361
798	0.4734479852
799	0.4733990834
800	0.4733359031
801	0.4732924652
802	0.4732443313
803	0.4732092555
804	0.4731656638
805	0.4731232354
806	0.4730693489
807	0.4730215343
808	0.4729573685
809	0.4729179502
810	0.4728781808
811	0.4728463122
812	0.4728020585
813	0.4727710928
814	0.4727209585
815	0.4726815182
816	0.4726356779
817	0.4725960209
818	0.4725523391
819	0.4725164181
820	0.4724682875
821	0.4724388774
